country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8,51.4,52.9,54,55.8,54,54,55.5,56.7,56.6,58.1,61.4,64.2,66.6,67,66.1,66,66.1,65.9,66.9,67.1
Luxembourg,46,47,47.9,47,47.2,49.8,51.5,52.9,54.5,55.6,56.5,57.8,58.9,61.7,62.2,62.9,65.3,65.6,67.2,67,66.9,67.6,65.1,70,69.5,70.5,74.3,74.2,75.2,75.8,76.6,76.8,77.8,77.8,79,80.9,81.4,81.2,83,83.7,81.2,82.8,84.1,84,85.7,78.9,77.4,73.2
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,44,,,47.2,50.4,,,,51.3,52.8,50.9,51.2,51.6,53.1,53.2
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,14.6,,,,,,,23.4,,,16.4,,
Malaysia,,,,,,,,,,,38.7,38.8,44.4,43.5,45,45.8,46.5,46.8,46.7,45.9,46.5,43.7,46.6,46.9,,47.7,48.4,49,49.4,49.9,49.5,51.8,53.1,53.7,55.3,55.6,55.1,56.8,57.4,59.5,58,59.4,58.7,58.6,59.7,60,61.1,
Maldives,,,,,,,,,,,,,,,,,,,,,48.5,,,,,50.4,,,,,50.2,,,56.7,,,,,,,,,,,68.1,,70.4,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,,28.3,,,,,,,,25.3,29.5,27.7,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1,66.7,66.1,67.7,68.3,68.1,69.6,71.9,72.7,73.5,73.2,74.3,76.7,76.8,77.7,78.6,78.9,79.2
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3,,,,,,,,,,82.3,79.6,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,40,,45.3,,46.7,45.7,48.5,49.5,49.6,50.1,49.3,51.6,52.5,53,56.2,57.5,58,59.2,58.6,61,62.3,63.6,63.8,65.5,66.4,67.2,66.6,68.4
Mexico,,,,,,,,,,,,,,,,,,,,,46.1,50.3,,51.1,,54.5,55,53.8,55.5,53.9,55.3,56.3,52.9,54.1,54.8,58.6,59,59.5,60.1,61.4,61.1,61.5,61.6,61.5,60.9,60.9,60.7,60.4
Moldova,,,,,,,,,,,,30.7,30.7,31.5,31.4,32.3,32.4,32.9,33.7,32.9,33.9,31.3,31.4,34.2,33.7,,42.1,43.7,39.7,37.5,35.2,35.1,35.9,40.9,43.3,43.3,48.2,48.5,49.3,52.5,53.8,53.7,54.3,53.5,51.6,48,49.2,51
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,40,38.6,35.9,36,34.4,34.4,35,37.2,38,40.7,41.4,43.7,43.3,43.9,44.7,44.2,45,50.2,49.6,46.8,49.8,51.3,51.3,50.6,52
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2,,72.1,,73.8,,,74.4,75,76.8,77.7,76.8,74.8,74.8,75
