country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,1.01,0.97,1.17,0.98,1.13,1,0.77,0.82,0.83,0.8,0.46,0.39,,0.12,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.44,,,,0,0.01,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,13.1,14.8,14.7,13.2,,,9.42,8.85,9.03,9.33,12.7,12.3,9.72,8.69,6.81
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,,,,,,,,,46,,,,,34.8,,,,,,,38.3
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,6.34,5.45,5.71,4.1,4.96,4.2,3.85,3.86,2.18,1.58,1.71,1.34,1.54,1.41,1.11,0.91,0.84,0.81,0.82,0.84,0.72
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,,,4.43,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,3.94,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,4.12,3.02,3.44,3.64,3.8,3.09,2.96,2.78,1.94,1.46,1.63,1.61,1.4,1.31,1.17,1.26,1.15,0.92,0.88
Luxembourg,,,,,,,,,,,,,,3.09,2.61,2.44,1.88,1.97,1.74,1.71,1.7,1.57,1.1,1.44,1.16,1.31,0.76,0.68,0.56,0.72,0.55,0.56,0.56,0.18,0.33,0.27,0.2,0.17,0.22,0.65,0.43,0.44,0.47,0.4,0.48,0.81,0.83,0.72
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,6.97,,8.31,10.3,10.9,14.4,12.2,11.4,8.53,10.4,10.9,10.1,10.3,10.2,10.1,9.57,8.51,8.97,8.8,7.94,6.52,6.34
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,31.2,,,,,,,,,,40.6,,52.3,,,,,46.7,,43.7,,,41,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,6.63,6.7,6.02,6.02,6.15,5.66,5.11,4.76,4.83,5.03,4.51,4.98,4.94,4.56,4.42,4.34,4.16,4.73,4.66,4.52,4.46,4.38,
Maldives,,,,,,,,,,,,,,,,,,,,,4.53,,,,,6.28,,,,,1.98,,,,,,13.4,,,,,,,,5.12,,2.97,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,38,26.4,,,,,,,39.8,28.7,32.4,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,0.03,,,,,,,0.04,0.05
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.76,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,1.98,,,,,2.37,,,,,0.86,1.67,1.64,2.34,2.03,2.09,2,2.16,2.1,2.11,2.38,1.94,2.21,2.2,2.18,2.46,2.17,2.11
Mexico,,,,,,,,,,,,,,,,,,,,,6.26,13,11.5,13.9,12,11.7,11.4,11.9,10.3,9.72,8.34,8.03,7.8,7.62,7.31,7.17,6.73,6.68,6.53,6.47,6.5,6.17,6.12,5.75,5.54,5.31,4.89,4.7
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64,7.17,7.76,7.58,2.39,1.03,1.11,2.93,2.33,2.38,2.56,2.66,3.08,2.34,2.15,2.41,4.36,4.63,3.76
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,,,24.8,,,,27.8,24.1,22.1,9.64,6.34,4.27,2.34,2.38,1.92,2.92,3.04
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,,1.97,2.61,1.4,1.58,0.89,2.08,1.24,2.03,2.48,2.32,2.92
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,19.2,,,,27.7,31.3,5.47,5.51,29.9,29.7,32,31.7,27.4,26.1,24.1,24.7,23.3,22.7,21.6,21.5,22,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,,,,,,,,,,,,21,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,24.9
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,22.4,,,11.7,,,3.32,16.9,,,4.38,,,,1.07,,2.52,,5.74,4.57,6.11,,3.85,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.83,,,,,,,44.3,,,,,,,,,
Netherlands,,,,,,,,,,,,,,2.61,,2.36,,2.31,2.05,1.98,2.13,1.68,1.23,1.39,1.28,1.25,1.1,1.06,0.88,0.81,0.87,0.74,0.58,0.52,0.48,0.55,0.54,0.54,0.45,0.45,0.63,0.62,0.55,0.5,0.5,0.56,0.45,0.33
New Zealand,,,,,,,,,,,,,,,,,1.01,0.67,0.64,0.75,1.22,1.3,1.21,1.11,1.08,1.07,1.21,0.92,0.9,0.93,0.85,0.87,0.79,0.69,0.57,0.62,0.92,1.11,0.96,1.07,1.07,1.03,1.04,1.16,1.04,0.91,0.9,0.78
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,4.58,,3.85,3.49,3.84,4.72,3.9,12.3,,,13.7,12.9,13.4,11,,11.8,9.69,,,18.1,,9.71,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,2.11,1.67,1.32,1.17,1,1.04,1,0.64,0.77,0.42,0.38,0.46,0.37,0.38,0.3,0.27,0.35,0.27,0.28,0.24,0.2,0.14,0.18,0.21,0.16,0.19,0.18,0.09
